id,Name_City
6994,Rishra
3004,Rohtak
1200193,Rohtas
1200141,Rooma
6664,Roorkee
4845,Ropar
6665,Rudraprayag
6666,Rudrapur
1200208,Rupnagar
1200207,Sabarkantha
1200068,Sachana
4055,Sagar
5049,Sagwara
6481,Saharanpur
2464,Saharsa
1200119,Sahebpur
3287,Sahibganj
4551,Saiha
3518,Sakleshpur
1200110,Salasar
5666,Salem
2465,Samastipur
4696,Sambalpur
6496,Sambhal
5051,Sambhar
4057,Sanawad
7072,Sangli
4853,Sangrur
1200061,Sanjan
1200176,Sansarpur
4402,Satara
4063,Satna
1200075,Sattal
5058,Sawai Madhopur
4405,Sawantwadi
4067,Sehore
4071,Seoni
3292,Seraikela Kharsawan
7009,Serampore
4554,Serchhip
4074,Shahdol
6516,Shahjahanpur
1200129,Shankheshwar
6524,Shikohabad
1200113,Shikrapur
4533,Shillong
3074,Shimla
3531,Shimoga
4412,Shirdi
4414,Shirur
4081,Shivpuri
1200090,Shoolagiri
4421,Shrivardhan
4082,Shujalpur
2338,Sibsagar
21300,Siddharthnagar
1200198,Siddhpur
4083,Sidhi
5061,Sikar
2340,Silchar
7013,Siliguri
2580,Silvassa
8889,Sindhudurg
1200199,Singasandra
4086,Singrauli
4428,Sinnar
3539,Sira
1200197,Sirmaur
5062,Sirohi
3011,Sirsa
6545,Siswa Bazar
2472,Sitamarhi
6546,Sitapur
5709,Sivaganga
5711,Sivakasi
2473,Siwan
3075,Solan
4429,Solapur
3544,Somvarpet
1200209,Sonbhadra
2474,Sonepur
3014,Sonipat
2172,Srikakulam
3147,Srinagar
6669,Srinagar
5714,Sriperumbudur
5717,Srivilliputhur
1200174,St Kabir Nagar
1201048,Subrahmanya
1200079,Sukha
6551,Sultanpur
1200093,Suman Nagar
4701,Sundargarh
2881,Surat
1200052,Surendranagar
2343,Tangla
4437,Tarapur
4867,Tarn Taran
1200180,Tatipaka
2225,Tawang
5731,Tenkasi
2344,Tezpur
1200126,Thandarai
4442,Thane
1200152,Thangaloor
1200156,Thanikkudam
5738,Thanjavur
1200071,Thattampady
1200036,Theni
3714,Thiruvalla
5774,Thiruvallur
5775,Thiruvarur
3717,Thodupuzha
5786,Thoothukudi
1200069,Thoptewadi
4516,Thoubal
3720,Thrissur
4107,Tikamgarh
5795,Tindivanam
2346,Tinsukia
1200067,Tirumangalam
5801,Tirunelveli
2188,Tirupati
1001062,Tirupattur
7081,Tirupur
5806,Tiruvannamalai
5078,Tonk
5798,Trichy
1200049,Trivandrum
4565,Tuensang
3558,Tumkur
7087,Tuticorin
5079,Udaipur
2348,Udalguri
1200042,Udham Singh Nagar
3153,Udhampur
5815,Udumalaipettai
3560,Udupi
4111,Ujjain
1200142,Umargam
4113,Umaria
3080,Una
2893,Una Gujarat
2894,Unjha
6582,Unnao
9053,Uttar Dinajpur
1200118,Uttara
3562,Uttara Kannada
6673,Uttarkashi
1201052,Vadali
1200080,Vadkhal
2899,Vadodara
1200134,Vaibhavwadi
1200087,Valhe Gaon
2902,Valsad
5852,Vaniyambadi
2904,Vapi
6586,Varanasi
1200125,Velhe
5872,Vellore
1200058,Vembakkam
4468,Vengurla
4117,Vidisha
2200,Vijayawada
3564,Vijaypura
1002008,Vikarabad
5892,Viluppuram
2914,Viramgam
5894,Virudhunagar
2202,Visakhapatnam
2203,Vizianagaram
6588,Vrindavan
2918,Vyara
1200101,Wada
1200107,Wadaparthy
5898,Walajapet
2204,Wanaparthy
2205,Warangal
4480,Wardha
1201050,Wargal
4483,Washim
1005010,Wayanad
1200187,West Godavari
1200195,West Singhbhum
4566,Wokha
3568,Yadgir
3025,Yamunanagar
4716,Yanam
4484,Yavatmal
1200057,Yelagiri
7066,Zirakpur
4567,Zunheboto
